orcid;author
12264;Matthias Masur
12265;Tobias Leipold
12266;Irina Busch
12267;Stefan Zeidler
12268;Sibylle Meyer
12269;Uta Böhm
12270;Christa Fricke
12271;Claudia Spindler
12272;Harald Klaus
12273;Fabienne Waidelich
12274;Jens-Uwe Bußer
12275;Wolfgang Klasen
12276;Katrin Müller
12277;Anastasios Drosou
12278;Dimitrios Tzovaras
12279;Raluca Marin-Perianu
12280;Juan Jimenez Garcia
12281;Stephan Bosch
12282;Mihai Marin-Perianu
12283;Paul J. M. Havinga
12284;Suzanne Martin
12285;Maurice D. Mulvenna
12286;Diana Hodgins
12287;Tom O'Kane
12288;John O'Donoghue
12289;Joe Gallagher
12290;Abdur Aftab
12291;Aveline Casey
12292;Garry Courtney
12293;Annalisa Franco
12294;Dario Maio
12295;Davide Maltoni
12296;Wolfgang Deiters
12297;Oliver Koch
12298;Thomas Königsmann
12299;Sven Meister
12300;Diane J. Cook
12301;Lawrence B. Holder
12302;Lenka Lhotská
12303;Jaromir Dolezal
12304;Václav Chudácek
12305;Michal Huptych
12306;Miroslav Bursa
12307;Jan Havlík
12308;Francesca I. Cavallaro
12309;Fabrice O. Morin
12310;Ainara Garzo
12311;Anthony Remazeilles
12312;Gabriel Gaminde
12313;Eric Wade
12314;Avinash Rao Parnandi
12315;Paul J. McCullagh
12316;Babak A. Farshchian
12317;Kristine Holbø
12318;Marius Mikalsen
12319;Jarl Reitan
12320;Martin Floeck
12321;Lothar Litz
12322;Annette Spellerberg
12323;Mario Drobics
12324;Angelika Dohr
12325;Susanne Giesecke
12326;Günter Schreier 0001
12327;Katherine Wild
12328;Linda Boise
12329;Ingo Meyer
12330;Lutz Kubitschke
12331;Tatsuo Nakajima
12332;Fahim Kawsar
12333;Teresa Zayas-Cabán
12334;Jenna L. Marquard
12335;CheeFai Tan
12336;Wei Chen 0015
12337;Matthias Rauterberg
12338;Frerk Müller
12339;Myriam Lipprandt
12340;Marco Eichelberg
12341;Axel Helmer
12342;Clemens Busch
12343;Detlev Willemsen
12344;Andreas Hein
12345;Dana Pavel
12346;Vic Callaghan
12347;Anind K. Dey
12348;Tsai-Ya Lai
12349;Jenn-Hwan Tarng
12350;William D. Kearns
12351;James L. Fozard
12352;Rami Puzis
12353;Meytal Tubi
12354;Yuval Elovici
12355;Yu-Ru Lin
12356;Hari Sundaram
12357;Aisling Kelliher
12358;Anwitaman Datta
12359;Sonja Buchegger
12360;Le-Hung Vu
12361;Thorsten Strufe
12362;Krzysztof Rzadca
12363;Eduardo B. Fernández
12364;Carolina Marin
12365;Maria M. Larrondo-Petrie
12366;Jose Simoes
12367;Thomas Magedanz
12368;Masaki Aida
12369;Hideyuki Koto
12370;Lisa Singh
12371;Elisa Jayne Bienenstock
12372;Janet Mann
12373;Muthucumaru Maheswaran
12374;Bader Ali
12375;Hatice Ozguven
12376;Julien Lord
12377;Janice Kwan-Wai Leung
12378;Chun Hung Li
12379;Munmun De Choudhury
12380;Ajita John
12381;Dorée Duncan Seligmann
12382;Mingxin Zhang
12383;Jason J. Jung
12384;Kwang Sun Choi
12385;Sung-Hyuk Park
12386;P. Santhi Thilagam
12387;Ronald R. Yager
12388;Ing-Xiang Chen
12389;Cheng-Zen Yang
12390;Cecilia Sik-Lányi
12391;Leucio Antonio Cutillo
12392;Mark Manulis
12393;Sergej Sizov
12394;Steffen Staab
12395;Thomas Franz
12396;Touhid Bhuiyan
12397;Audun Jøsang
12398;Yue Xu
12399;Susanta Mitra
12400;Aditya Bagchi
12401;Nathalie Henry Riche
12402;Jean-Daniel Fekete
12403;Katerina Slaninová
12404;Jan Martinovic
12405;Pavla Drázdilová
12406;Gamila Obadi
12407;Václav Snásel
12408;Abraham Bagherjeiran
12409;Rushi Bhatt
12410;Rajesh Parekh
12411;Vineet Chaoji
12412;Nina D. Ziv
12413;Kerry-Ann White
12414;Lester Melendez
12415;Ouri Wolfson
12416;Malek Adjouadi
12417;Naphtali Rishe
12418;Tsuyoshi Murata
12419;Bo Yang 0002
12420;Dayou Liu
12421;Jiming Liu 0001
12422;Marcel Karnstedt
12423;Tara Hennessy
12424;Jeffrey Chan
12425;Partha Basuchowdhuri
12426;Conor Hayes
12427;Keiji Yanai
12428;Bingyu Qiu
