work;author
821;11753
1716;11753
1209;11753
958;11753
1345;11753
708;11753
710;11753
1227;11753
2007;11753
1242;11753
2010;11753
2011;11753
608;11753
1504;11753
2144;11753
2024;11753
1385;11753
875;11753
1899;11753
622;11753
752;11753
1905;11753
756;11753
1145;11753
1147;11753
1534;11753
896;11754
1025;11754
642;11754
1027;11754
2054;11754
1805;11754
654;11754
2196;11754
1434;11754
1442;11754
1443;11754
935;11754
2216;11754
815;11754
1840;11754
2225;11754
2101;11754
2102;11754
1720;11754
954;11754
827;11754
956;11754
1342;11754
833;11754
1729;11754
1604;11754
1998;11754
850;11754
1367;11754
1496;11754
1751;11754
1632;11754
609;11754
1763;11754
615;11754
871;11754
1256;11754
1003;11754
1649;11754
1272;11754
1541;11755
647;11755
2183;11755
1426;11755
1173;11755
1301;11755
663;11755
2198;11755
1177;11755
1305;11755
1049;11755
1949;11755
1951;11755
1184;11755
2080;11755
1058;11755
1699;11755
2215;11755
1197;11755
1070;11755
1965;11755
2224;11755
957;11755
1606;11755
1355;11755
716;11755
1359;11755
1744;11755
977;11755
1617;11755
724;11755
1620;11755
1748;11755
855;11755
1880;11755
610;11755
2032;11755
1268;11755
1532;11755
1661;11755
1418;11756
2060;11756
1421;11756
1549;11756
661;11756
1946;11756
1051;11756
1312;11756
1833;11756
2220;11756
1327;11756
1328;11756
1201;11756
1845;11756
2173;11756
1339;11756
1602;11756
1731;11756
1230;11756
1363;11756
611;11756
1895;11756
2025;11756
1007;11756
1146;11756
1917;11756
2147;11757
612;11757
3979;11757
823;11757
2204;11757
1527;11757
792;11757
1596;11757
614;11758
1280;11759
1216;11759
804;11759
616;11759
2031;11759
1237;11759
617;11760
1000;11761
617;11761
2180;11762
780;11762
782;11762
656;11762
1809;11762
2199;11762
1948;11762
1569;11762
2218;11762
685;11762
959;11762
2125;11762
1621;11762
1110;11762
1753;11762
1633;11762
2146;11762
740;11762
1381;11762
998;11762
2022;11762
618;11762
1387;11762
1526;11762
1662;11762
1159;11763
1034;11763
1850;11763
701;11763
1982;11763
1860;11763
842;11763
1739;11763
1365;11763
1239;11763
1498;11763
2139;11763
989;11763
1886;11763
1758;11763
2013;11763
744;11763
619;11763
1772;11763
883;11763
1658;11763
1918;11763
1535;11763
1920;11764
773;11764
903;11764
1546;11764
2059;11764
1292;11764
1804;11764
2066;11764
1048;11764
1186;11764
1832;11764
2090;11764
2096;11764
1585;11764
1725;11764
1854;11764
1217;11764
1988;11764
2001;11764
2002;11764
2009;11764
1125;11764
1126;11764
1383;11764
620;11764
1648;11764
1265;11764
2036;11764
886;11764
1142;11764
1730;11765
934;11765
625;11765
1270;11765
1628;11765
1885;11765
1470;11765
626;11766
1326;11766
626;11767
1326;11767
1801;11768
1035;11768
1291;11768
1550;11768
1937;11768
1435;11768
1822;11768
1823;11768
1579;11768
1202;11768
1974;11768
1349;11768
1477;11768
1224;11768
1480;11768
975;11768
2000;11768
1623;11768
856;11768
1370;11768
862;11768
1378;11768
628;11768
2167;11768
1277;11768
1790;11768
1354;11769
1100;11769
2094;11769
629;11769
4603;11769
894;11769
1439;11769
2112;11770
2915;11770
2021;11770
1416;11770
1900;11770
851;11770
980;11770
632;11770
2075;11770
1372;11770
633;11771
1984;11772
868;11772
1764;11772
1908;11772
984;11772
634;11772
636;11773
1571;11774
2074;11774
778;11774
651;11774
1624;11774
1934;11774
1039;11774
1625;11774
1139;11774
1428;11774
1562;11774
1208;11774
1561;11774
1114;11774
1755;11774
637;11774
673;11775
706;11775
1314;11775
1311;11775
743;11775
1417;11775
1293;11775
784;11775
1879;11775
2200;11775
1405;11775
639;11775
643;11776
1779;11776
6050;11777
645;11777
6950;11777
6281;11777
6729;11777
6794;11777
5868;11777
5870;11777
6574;11777
5872;11777
1297;11777
5944;11777
6008;11777
822;11777
5878;11777
1528;11777
6422;11777
882;11778
652;11778
655;11779
658;11780
1806;11780
1929;11781
659;11781
1267;11781
1119;11781
1929;11782
659;11782
1267;11782
1119;11782
1153;11783
2051;11783
1029;11783
1808;11783
660;11783
1300;11783
790;11783
1559;11783
2040;11783
1691;11783
1188;11783
1318;11783
1958;11783
689;11783
1074;11783
1330;11783
1333;11783
1975;11783
1337;11783
1977;11783
1978;11783
1473;11783
2113;11783
1737;11783
845;11783
1618;11783
727;11783
1240;11783
1117;11783
1761;11783
1252;11783
1253;11783
1508;11783
1771;11783
2159;11783
1656;11783
1022;11783
664;11784
1424;11784
681;11785
813;11785
2128;11785
6192;11785
666;11785
1538;11786
668;11786
1666;11787
2181;11787
1936;11787
1042;11787
670;11787
2079;11787
1696;11787
1446;11787
949;11787
1207;11787
831;11787
1986;11787
2122;11787
1995;11787
978;11787
1749;11787
1113;11787
1511;11787
1257;11787
1388;11787
1647;11787
1150;11787
672;11788
1001;11788
793;11788
1278;11788
927;11788
675;11789
1580;11789
979;11789
1685;11789
1878;11789
924;11789
1680;11790
905;11790
676;11790
1382;11791
679;11791
1002;11791
1164;11791
881;11791
692;11791
1080;11791
1786;11791
682;11792
682;11793
2112;11794
1219;11794
1412;11794
1795;11794
2915;11794
1416;11794
2123;11794
1900;11794
1614;11794
687;11794
1043;11794
851;11794
1971;11794
2227;11794
1433;11794
2046;11794
1064;11795
1005;11795
688;11795
1360;11795
1045;11795
1371;11795
1891;11796
1700;11796
1547;11796
1389;11796
1773;11796
693;11796
1082;11796
1629;11796
695;11797
695;11798
698;11799
1684;11799
702;11800
705;11801
1009;11801
1992;11802
713;11802
1636;11802
930;11803
1157;11803
714;11803
1166;11803
946;11803
1493;11803
1046;11803
953;11803
1436;11803
1697;11804
1925;11804
1989;11804
2153;11804
1419;11804
717;11804
1457;11804
1875;11804
1950;11804
890;11804
1214;11804
895;11804
718;11805
718;11806
718;11807
720;11808
1128;11808
720;11809
1128;11809
723;11810
1229;11810
723;11811
1229;11811
726;11812
730;11813
1587;11814
732;11814
1398;11814
1663;11814
733;11815
925;11815
1032;11816
738;11816
1952;11817
995;11817
902;11817
1703;11817
1352;11817
745;11817
809;11817
1544;11817
1641;11817
1837;11817
1997;11817
1777;11817
1077;11817
1302;11817
1782;11817
1464;11817
2205;11817
914;11818
747;11818
1990;11818
1087;11818
749;11819
928;11820
865;11820
1283;11820
1289;11820
1514;11820
2057;11820
749;11820
1938;11820
852;11820
1915;11820
829;11820
1118;11820
1924;11821
2182;11821
2087;11821
1963;11821
1996;11821
1583;11821
754;11821
2005;11821
755;11822
781;11822
2019;11823
1261;11823
1838;11823
1586;11823
758;11823
2103;11823
1411;11824
1796;11824
1287;11824
2056;11824
1430;11824
1176;11824
2208;11824
1953;11824
1570;11824
2211;11824
950;11824
1463;11824
1848;11824
1222;11824
1863;11824
1357;11824
2130;11824
2134;11824
1642;11824
2161;11824
759;11824
1530;11824
1411;11825
1796;11825
1287;11825
2056;11825
1430;11825
1176;11825
2208;11825
1953;11825
1570;11825
2211;11825
950;11825
1463;11825
1848;11825
1222;11825
1863;11825
1357;11825
2130;11825
2134;11825
1642;11825
2161;11825
759;11825
1530;11825
1536;11826
1803;11826
